task_name,component_id,task_schedulable,avg_response_time,max_response_time,component_schedulable
Task_0,Camera_Sensor,1,7.0,7,1
Task_1,Camera_Sensor,1,7.5,11,1
Task_2,Image_Processor,1,14.0,14,1
Task_3,Image_Processor,1,10.0,15,1
Task_4,Bitmap_Processor,1,13.0,18,1
Task_5,Bitmap_Processor,1,22.0,22,1
Task_6,Lidar_Sensor,1,3.0,3,1
Task_7,Lidar_Sensor,1,11.0,11,1
Task_8,Lidar_Sensor,1,25.0,25,1
Task_9,Lidar_Sensor,1,12.5,27,1
Task_10,Control_Unit,0,768.07,1515,0
Task_11,Control_Unit,1,11.5,32,0
Task_12,Control_Unit,1,18.75,35,0
Task_13,Control_Unit,1,29.5,38,0
Task_14,Control_Unit,1,39.0,40,0
Task_15,Control_Unit,1,26.0,43,0
Task_16,GPS_Sensor,1,3.0,3,1
Task_17,GPS_Sensor,1,1.6,4,1
Task_18,Communication_Unit,1,2.67,5,1
Task_19,Communication_Unit,1,5.33,6,1
Task_20,Communication_Unit,1,7.33,8,1
Task_21,Communication_Unit,1,10.0,11,1
Task_22,Proximity_Sensor,1,11.33,14,1
Task_23,Proximity_Sensor,1,3.6,15,1
Task_24,Proximity_Sensor,1,10.5,16,1
Task_25,Radar_Sensor,1,2.0,2,1
Task_26,Radar_Sensor,1,20.33,27,1
Task_27,Radar_Sensor,1,80.33,87,1
Task_28,Sonar_Sensor,1,10.0,10,1
Task_29,Sonar_Sensor,1,31.67,35,1
Task_30,Laser_Sensor,1,13.0,13,1
Task_31,Laser_Sensor,1,5.25,15,1
Task_32,Laser_Sensor,1,17.5,24,1
Task_33,Laser_Sensor,1,29.0,29,1
Task_34,Infrared_Sensor,1,38.0,40,0
Task_35,Infrared_Sensor,1,31.5,47,0
Task_36,Infrared_Sensor,0,2426.33,4810,0
Task_37,Ultraviolet_Sensor,1,13.5,18,1
Task_38,Ultraviolet_Sensor,1,39.0,59,1
Task_39,Ultraviolet_Sensor,1,54.3,74,1
Task_40,Ultraviolet_Sensor,1,9.25,16,1
Task_41,Ultraviolet_Sensor,1,60.07,96,1
Task_42,Ultraviolet_Sensor,1,135.8,149,1
Task_43,Ultraviolet_Sensor,1,3.5,5,1
Task_44,Ultraviolet_Sensor,1,22.0,29,1
Task_45,Thermal_Sensor,1,33.67,68,1
Task_46,Thermal_Sensor,1,3.0,3,1
Task_47,Thermal_Sensor,1,33.25,37,1
Task_48,Thermal_Sensor,1,11.0,14,1
Task_49,Pressure_Sensor,1,2.0,2,1
Task_50,Pressure_Sensor,1,4.0,4,1
Task_51,Pressure_Sensor,1,6.0,7,1
Task_52,Humidity_Sensor,0,566.31,1124,0
Task_53,Humidity_Sensor,0,577.72,1128,0
Task_54,Temperature_Sensor,1,24.0,28,1
Task_55,Temperature_Sensor,1,2.0,2,1
Task_56,Temperature_Sensor,1,364.0,364,1
Task_57,Temperature_Sensor,1,7.5,9,1
Task_58,Light_Sensor,1,3.0,3,1
Task_59,Light_Sensor,1,33.0,35,1
Task_60,Light_Sensor,1,100.5,131,1
Task_61,Sound_Sensor,1,57.0,57,1
Task_62,Sound_Sensor,1,37.5,66,1
Task_63,Vibration_Sensor,1,19.25,71,1
Task_64,Vibration_Sensor,1,38.83,75,1
Task_65,Motion_Sensor,1,14.0,14,1
Task_66,Motion_Sensor,1,46.0,53,1
Task_67,Acceleration_Sensor,0,778.74,1515,0
Task_68,Acceleration_Sensor,1,15.5,57,0
Task_69,Acceleration_Sensor,1,31.17,66,0
Task_70,Acceleration_Sensor,1,107.5,119,0
Task_71,Gyroscope_Sensor,1,8.0,10,1
Task_72,Gyroscope_Sensor,1,3.0,4,1
Task_73,Gyroscope_Sensor,1,1.5,3,1
Task_74,Gyroscope_Sensor,1,23.5,28,1
Task_75,Gyroscope_Sensor,1,14.0,16,1
Task_76,Gyroscope_Sensor,1,1.0,1,1
Task_77,Magnetometer_Sensor,1,2.0,2,1
Task_78,Magnetometer_Sensor,1,5.4,7,1
Task_79,Compass_Sensor,1,4.0,4,1
Task_80,Compass_Sensor,1,10.0,10,1
Task_81,Compass_Sensor,1,8.5,16,1
Task_82,Compass_Sensor,1,16.0,24,1
Task_83,Altimeter_Sensor,1,14.0,34,1
Task_84,Altimeter_Sensor,1,25.07,40,1
Task_85,Altimeter_Sensor,1,26.0,44,1
Task_86,Barometer_Sensor,1,7.0,7,1
Task_87,Barometer_Sensor,1,4.5,8,1
Task_88,Barometer_Sensor,1,29.0,29,1
Task_89,Hygrometer_Sensor,1,5.5,9,1
Task_90,Hygrometer_Sensor,1,57.5,72,1
Task_91,Anemometer_Sensor,1,2.0,2,0
Task_92,Anemometer_Sensor,1,3.5,5,0
Task_93,Anemometer_Sensor,0,304.97,605,0
Task_94,Anemometer_Sensor,1,45.0,45,0
Task_95,Rain_Gauge_Sensor,0,523.86,1025,0
Task_96,Rain_Gauge_Sensor,1,41.67,75,0
Task_97,Rain_Gauge_Sensor,1,175.0,175,0
Task_98,Snow_Gauge_Sensor,1,20.0,22,1
Task_99,Snow_Gauge_Sensor,1,15.0,15,1
Task_100,Snow_Gauge_Sensor,1,35.5,38,1
Task_101,Snow_Gauge_Sensor,1,94.5,98,1
Task_102,Snow_Gauge_Sensor,1,24.33,29,1
Task_103,Snow_Gauge_Sensor,1,6.0,6,1
Task_104,Snow_Gauge_Sensor,1,129.0,129,1
Task_105,Snow_Gauge_Sensor,1,49.33,86,1
Task_106,Thermometer_Sensor,1,17.0,17,1
Task_107,Thermometer_Sensor,1,2.0,2,1
Task_108,Thermometer_Sensor,1,75.5,79,1
Task_109,Thermometer_Sensor,1,13.0,13,1
Task_110,Pyrometer_Sensor,1,3.0,3,1
Task_111,Pyrometer_Sensor,1,7.0,7,1
Task_112,Pyrometer_Sensor,1,7.33,10,1
Task_113,Photometer_Sensor,1,14.08,19,0
Task_114,Photometer_Sensor,0,277.02,524,0
